# run         dr         AoA         AoS         pTaps0         pTaps1         pTaps2         pTaps3         pTaps4         pTaps5         CpTaps0         CpTaps1         CpTaps2         CpTaps3         CpTaps4         CpTaps5
  54.00000  -10.00000    4.99500   -5.00000  -59.97000  -54.16000  -42.20000  -21.14000   17.09000   -1.77000   -0.17655   -0.16596   -0.14416   -0.10576   -0.03606   -0.07045
  55.00000  -10.00000    4.99500   -5.00000  -54.87000  -50.74000  -40.74000  -21.84000   13.54000   -4.31000   -0.16884   -0.16132   -0.14309   -0.10866   -0.04419   -0.07671
  56.00000  -10.00000    4.99500   -5.00000  -49.00000  -46.71000  -38.85000  -22.28000   10.01000   -6.70000   -0.16171   -0.15754   -0.14322   -0.11304   -0.05423   -0.08466
  57.00000  -10.00000    4.99500   -5.00000  -44.75000  -44.01000  -37.85000  -23.23000    6.51000   -9.24000   -0.15570   -0.15435   -0.14313   -0.11650   -0.06233   -0.09102
  58.00000  -10.00000    0.00400    0.00000  -64.55000  -58.06000  -46.28000  -27.49000    4.47000  -10.28000   -0.18383   -0.17203   -0.15060   -0.11642   -0.05829   -0.08512
  59.00000  -10.00000    0.00400    0.00000  -59.68000  -55.61000  -46.22000  -29.75000   -0.05000  -14.20000   -0.17843   -0.17102   -0.15392   -0.12394   -0.06987   -0.09563
  60.00000  -10.00000    0.00400    0.00000  -55.29000  -53.83000  -46.85000  -33.04000   -6.07000  -19.36000   -0.17218   -0.16952   -0.15680   -0.13165   -0.08251   -0.10672
  61.00000  -10.00000    0.00400    0.00000  -51.65000  -52.11000  -47.02000  -35.09000  -10.22000  -22.90000   -0.16789   -0.16873   -0.15947   -0.13777   -0.09252   -0.11559
  62.00000  -10.00000    4.99500    0.00000  -51.61000  -40.38000  -27.24000   -8.15000   24.64000    9.17000   -0.15959   -0.13914   -0.11521   -0.08044   -0.02072   -0.04890
  63.00000  -10.00000    4.99500    0.00000  -46.41000  -37.29000  -26.24000   -9.41000   21.04000    6.27000   -0.15265   -0.13601   -0.11585   -0.08515   -0.02961   -0.05655
  64.00000  -10.00000    4.99500    0.00000  -41.65000  -34.83000  -25.91000  -11.20000   16.67000    2.77000   -0.14564   -0.13322   -0.11699   -0.09021   -0.03947   -0.06477
  65.00000  -10.00000    4.99500    0.00000  -37.59000  -32.44000  -25.11000  -12.07000   13.79000    0.60000   -0.14083   -0.13147   -0.11813   -0.09442   -0.04738   -0.07137
  66.00000  -10.00000    0.00400    5.00500  -61.38000  -51.89000  -40.33000  -24.29000   -0.59000  -10.58000   -0.18048   -0.16322   -0.14219   -0.11301   -0.06989   -0.08807
  67.00000  -10.00000    0.00400    5.00500  -57.44000  -50.36000  -40.77000  -26.71000   -4.84000  -14.24000   -0.17544   -0.16255   -0.14511   -0.11952   -0.07973   -0.09683
  68.00000  -10.00000    0.00400    5.00500  -52.61000  -48.12000  -41.00000  -29.35000  -10.00000  -18.67000   -0.16997   -0.16180   -0.14885   -0.12766   -0.09247   -0.10824
  69.00000  -10.00000    0.00400    5.00500  -48.87000  -46.28000  -40.86000  -30.98000  -13.72000  -21.58000   -0.16622   -0.16150   -0.15162   -0.13362   -0.10217   -0.11649
  70.00000  -10.00000    4.99500    5.00500  -53.19000  -41.18000  -28.51000  -10.12000   16.80000    5.18000   -0.16416   -0.14232   -0.11928   -0.08583   -0.03688   -0.05801
  71.00000  -10.00000    4.99500    5.00500  -48.82000  -39.14000  -28.60000  -12.31000   12.86000    1.64000   -0.15848   -0.14086   -0.12168   -0.09203   -0.04621   -0.06664
  72.00000  -10.00000    4.99500    5.00500  -44.10000  -36.99000  -28.80000  -14.86000    8.23000   -2.49000   -0.15314   -0.14020   -0.12529   -0.09991   -0.05787   -0.07739
  73.00000  -10.00000    4.99500    5.00500  -41.90000  -36.65000  -30.17000  -17.94000    3.23000   -6.92000   -0.14893   -0.13937   -0.12758   -0.10531   -0.06678   -0.08526
  74.00000  -10.00000    0.00400   10.00000  -76.31000  -65.23000  -51.96000  -31.44000   -9.30000  -17.83000   -0.21253   -0.19238   -0.16825   -0.13095   -0.09069   -0.10620
  75.00000  -10.00000    0.00400   10.00000  -71.46000  -62.41000  -51.16000  -32.70000  -12.62000  -20.53000   -0.20739   -0.19092   -0.17044   -0.13684   -0.10029   -0.11469
  76.00000  -10.00000    0.00400   10.00000  -66.10000  -59.53000  -50.94000  -35.38000  -18.31000  -25.23000   -0.20087   -0.18892   -0.17328   -0.14496   -0.11389   -0.12648
  77.00000  -10.00000    0.00400   10.00000  -63.04000  -58.30000  -51.55000  -38.03000  -23.19000  -29.49000   -0.19629   -0.18765   -0.17536   -0.15075   -0.12373   -0.13520
  78.00000  -10.00000    4.99500   10.00000  -72.22000  -63.62000  -52.34000  -31.42000    1.71000  -14.19000   -0.20486   -0.18921   -0.16867   -0.13060   -0.07029   -0.09924
  79.00000  -10.00000    4.99500   10.00000  -68.09000  -61.15000  -51.81000  -33.19000   -2.60000  -17.72000   -0.19836   -0.18572   -0.16871   -0.13480   -0.07909   -0.10663
  80.00000  -10.00000    4.99500   10.00000  -62.51000  -57.52000  -50.63000  -34.79000   -7.70000  -21.62000   -0.19114   -0.18207   -0.16953   -0.14072   -0.09145   -0.11677
  81.00000  -10.00000    4.99500   10.00000  -58.43000  -54.99000  -49.82000  -36.06000  -11.65000  -24.58000   -0.18563   -0.17937   -0.16997   -0.14493   -0.10053   -0.12405
  82.00000  -10.00000    0.00400   -4.99500 -111.10000 -111.61000  -96.67000  -62.64000   -1.77000  -32.72000   -0.18198   -0.18250   -0.16721   -0.13237   -0.07007   -0.10175
  83.00000  -10.00000    0.00400   -4.99500 -100.07000 -104.86000  -94.86000  -66.33000  -12.44000  -40.98000   -0.17403   -0.17893   -0.16869   -0.13947   -0.08428   -0.11351
  84.00000  -10.00000    0.00400   -4.99500  -97.01000 -103.32000  -94.99000  -68.37000  -16.90000  -44.53000   -0.17110   -0.17756   -0.16903   -0.14176   -0.08903   -0.11733
  85.00000  -10.00000    0.00400   -4.99500  -92.86000 -100.95000  -94.65000  -70.34000  -22.01000  -48.58000   -0.16795   -0.17625   -0.16979   -0.14486   -0.09529   -0.12254
  86.00000  -10.00000    4.99500   -4.99500  -96.47000  -88.64000  -70.28000  -35.04000   28.47000   -3.57000   -0.16577   -0.15774   -0.13890   -0.10275   -0.03759   -0.07046
  87.00000  -10.00000    4.99500   -4.99500  -85.53000  -81.37000  -67.20000  -36.61000   20.72000   -9.07000   -0.15649   -0.15223   -0.13771   -0.10635   -0.04760   -0.07813
  88.00000  -10.00000    4.99500   -4.99500  -81.93000  -79.09000  -66.41000  -37.41000   17.68000  -11.35000   -0.15389   -0.15098   -0.13798   -0.10825   -0.05178   -0.08154
  89.00000  -10.00000    4.99500   -4.99500  -78.40000  -77.05000  -66.21000  -39.26000   13.16000  -14.85000   -0.15051   -0.14912   -0.13801   -0.11039   -0.05667   -0.08537
  90.00000  -10.00000    0.00500    0.00000 -108.40000 -100.32000  -82.54000  -51.33000    2.69000  -23.03000   -0.17766   -0.16938   -0.15115   -0.11917   -0.06380   -0.09016
  91.00000  -10.00000    0.00500    0.00000  -99.05000  -95.97000  -83.10000  -57.00000   -8.34000  -32.51000   -0.17075   -0.16759   -0.15439   -0.12763   -0.07773   -0.10251
  92.00000  -10.00000    0.00500    0.00000  -96.61000  -95.22000  -84.02000  -59.55000  -12.86000  -36.35000   -0.16844   -0.16702   -0.15553   -0.13044   -0.08256   -0.10665
  93.00000  -10.00000    0.00500    0.00000  -92.26000  -92.85000  -83.55000  -61.22000  -16.62000  -39.58000   -0.16640   -0.16701   -0.15747   -0.13456   -0.08882   -0.11237
  94.00000  -10.00000    4.99500    0.00000  -84.61000  -67.71000  -46.98000  -15.28000   39.84000   13.18000   -0.15084   -0.13351   -0.11225   -0.07975   -0.02323   -0.05057
  95.00000  -10.00000    4.99500    0.00000  -72.90000  -60.42000  -43.99000  -16.74000   33.34000    8.37000   -0.14300   -0.13019   -0.11334   -0.08538   -0.03400   -0.05962
  96.00000  -10.00000    4.99500    0.00000  -71.76000  -60.60000  -45.62000  -19.71000   28.59000    4.15000   -0.14072   -0.12927   -0.11391   -0.08733   -0.03779   -0.06286
  97.00000  -10.00000    4.99500    0.00000  -67.65000  -58.31000  -45.01000  -20.94000   25.19000    1.52000   -0.13789   -0.12831   -0.11468   -0.09001   -0.04272   -0.06698
  98.00000  -10.00000    0.00500    5.00500 -104.58000  -91.09000  -73.16000  -46.92000   -7.53000  -24.39000   -0.17562   -0.16178   -0.14338   -0.11646   -0.07604   -0.09334
  99.00000  -10.00000    0.00500    5.00500  -95.54000  -87.19000  -73.86000  -52.26000  -17.65000  -33.00000   -0.16929   -0.16073   -0.14705   -0.12489   -0.08938   -0.10513
 100.00000  -10.00000    0.00500    5.00500  -91.74000  -85.01000  -73.29000  -53.17000  -20.27000  -35.05000   -0.16747   -0.16057   -0.14854   -0.12790   -0.09415   -0.10931
 101.00000  -10.00000    0.00500    5.00500  -89.03000  -84.36000  -74.33000  -56.14000  -25.21000  -39.40000   -0.16534   -0.16054   -0.15025   -0.13159   -0.09985   -0.11441
 102.00000  -10.00000    4.99500    5.00500  -91.49000  -74.19000  -54.86000  -23.95000   22.79000    1.51000   -0.16069   -0.14295   -0.12313   -0.09143   -0.04349   -0.06532
 103.00000  -10.00000    4.99500    5.00500  -82.68000  -70.28000  -55.61000  -29.33000   12.87000   -7.36000   -0.15426   -0.14154   -0.12649   -0.09953   -0.05624   -0.07699
 104.00000  -10.00000    4.99500    5.00500  -80.01000  -69.26000  -56.04000  -31.33000    9.17000  -10.61000   -0.15214   -0.14112   -0.12757   -0.10223   -0.06071   -0.08099
 105.00000  -10.00000    4.99500    5.00500  -76.03000  -67.18000  -55.82000  -32.97000    5.37000  -13.86000   -0.14997   -0.14089   -0.12925   -0.10581   -0.06650   -0.08622
 106.00000  -10.00000    0.00500   10.00000 -128.98000 -113.33000  -93.45000  -58.78000  -23.09000  -37.40000   -0.20714   -0.19109   -0.17070   -0.13515   -0.09854   -0.11322
 107.00000  -10.00000    0.00500   10.00000 -119.87000 -108.91000  -93.85000  -64.39000  -34.03000  -46.76000   -0.20036   -0.18911   -0.17366   -0.14343   -0.11227   -0.12534
 108.00000  -10.00000    0.00500   10.00000 -117.32000 -108.05000  -94.64000  -67.02000  -38.76000  -50.81000   -0.19801   -0.18849   -0.17473   -0.14638   -0.11738   -0.12974
 109.00000  -10.00000    0.00500   10.00000 -112.66000 -105.09000  -93.66000  -68.22000  -42.27000  -53.53000   -0.19534   -0.18757   -0.17584   -0.14974   -0.12311   -0.13466
 110.00000  -10.00000    4.99500   10.00000 -120.59000 -109.22000  -93.19000  -58.44000   -4.64000  -31.79000   -0.19679   -0.18511   -0.16866   -0.13298   -0.07774   -0.10562
 111.00000  -10.00000    4.99500   10.00000 -110.23000 -102.70000  -91.28000  -61.85000  -14.37000  -39.47000   -0.18885   -0.18113   -0.16942   -0.13924   -0.09054   -0.11629
 112.00000  -10.00000    4.99500   10.00000 -107.81000 -101.56000  -91.70000  -64.08000  -18.81000  -43.14000   -0.18622   -0.17981   -0.16970   -0.14138   -0.09495   -0.11990
 113.00000  -10.00000    4.99500   10.00000 -104.19000  -99.43000  -91.39000  -65.75000  -23.30000  -46.63000   -0.18331   -0.17843   -0.17019   -0.14390   -0.10038   -0.12430
 114.00000    0.00000    0.00500    4.99500  -61.60000  -52.30000  -40.82000  -24.83000   -1.17000  -11.15000   -0.18277   -0.16586   -0.14499   -0.11592   -0.07291   -0.09106
 115.00000    0.00000    0.00500    4.99500  -58.31000  -51.32000  -41.84000  -27.85000   -6.03000  -15.46000   -0.17802   -0.16531   -0.14806   -0.12261   -0.08292   -0.10007
 116.00000    0.00000    0.00500    4.99500  -54.47000  -50.10000  -43.06000  -31.45000  -12.23000  -20.77000   -0.17230   -0.16436   -0.15155   -0.13044   -0.09549   -0.11102
 117.00000    0.00000    0.00500    4.99500  -50.37000  -47.91000  -42.60000  -32.72000  -15.45000  -23.30000   -0.16824   -0.16376   -0.15410   -0.13613   -0.10471   -0.11899
 118.00000    0.00000    4.99500    4.99500  -54.09000  -42.15000  -29.52000  -11.11000   15.60000    4.12000   -0.16565   -0.14393   -0.12096   -0.08747   -0.03888   -0.05976
 119.00000    0.00000    4.99500    4.99500  -50.09000  -40.45000  -30.00000  -13.66000   11.40000    0.23000   -0.16037   -0.14283   -0.12381   -0.09407   -0.04845   -0.06878
 120.00000    0.00000    4.99500    4.99500  -45.49000  -38.47000  -30.32000  -16.38000    6.71000   -4.05000   -0.15508   -0.14231   -0.12749   -0.10213   -0.06012   -0.07970
 121.00000    0.00000    4.99500    4.99500  -42.81000  -37.65000  -31.22000  -18.97000    2.34000   -7.94000   -0.15122   -0.14183   -0.13012   -0.10783   -0.06904   -0.08775
 122.00000    0.00000    0.00500    4.99500 -105.47000  -92.32000  -74.52000  -48.33000   -8.90000  -25.90000   -0.17766   -0.16421   -0.14599   -0.11920   -0.07885   -0.09624
 123.00000    0.00000    0.00500    4.99500  -97.07000  -89.00000  -75.84000  -54.36000  -19.76000  -35.13000   -0.17150   -0.16323   -0.14975   -0.12776   -0.09232   -0.10806
 124.00000    0.00000    0.00500    4.99500  -94.71000  -88.34000  -76.69000  -56.74000  -23.89000  -38.65000   -0.16937   -0.16284   -0.15091   -0.13048   -0.09684   -0.11195
 125.00000    0.00000    0.00500    4.99500  -92.31000  -87.96000  -78.10000  -59.95000  -29.16000  -43.24000   -0.16740   -0.16295   -0.15284   -0.13425   -0.10269   -0.11712
 126.00000    0.00000    4.99500    4.99500  -93.71000  -76.66000  -57.39000  -26.49000   19.97000   -1.09000   -0.16229   -0.14481   -0.12506   -0.09339   -0.04577   -0.06735
 127.00000    0.00000    4.99500    4.99500  -84.23000  -72.01000  -57.43000  -31.13000   10.96000   -9.19000   -0.15572   -0.14320   -0.12826   -0.10131   -0.05819   -0.07883
 128.00000    0.00000    4.99500    4.99500  -81.53000  -70.92000  -57.92000  -33.20000    7.29000  -12.54000   -0.15398   -0.14311   -0.12979   -0.10447   -0.06299   -0.08330
 129.00000    0.00000    4.99500    4.99500  -77.80000  -69.09000  -57.92000  -35.04000    3.35000  -15.85000   -0.15178   -0.14286   -0.13142   -0.10798   -0.06865   -0.08832
 130.00000    0.00000    0.00500    0.00000  -65.47000  -59.01000  -47.15000  -28.30000    3.94000  -10.97000   -0.18532   -0.17358   -0.15201   -0.11773   -0.05910   -0.08622
 131.00000    0.00000    0.00500    0.00000  -59.51000  -55.46000  -46.00000  -29.49000    0.50000  -13.84000   -0.18009   -0.17273   -0.15553   -0.12551   -0.07098   -0.09705
 132.00000    0.00000    0.00500    0.00000  -55.89000  -54.43000  -47.42000  -33.47000   -6.20000  -19.66000   -0.17383   -0.17118   -0.15843   -0.13306   -0.08347   -0.10795
 133.00000    0.00000    0.00500    0.00000  -52.87000  -53.27000  -48.14000  -36.10000  -11.00000  -23.77000   -0.16954   -0.17026   -0.16093   -0.13902   -0.09334   -0.11658
 134.00000    0.00000    4.99500    0.00000  -51.92000  -40.80000  -27.76000   -8.76000   23.79000    8.44000   -0.16103   -0.14081   -0.11711   -0.08257   -0.02340   -0.05130
 135.00000    0.00000    4.99500    0.00000  -47.95000  -38.97000  -27.98000  -11.16000   19.01000    4.38000   -0.15368   -0.13735   -0.11735   -0.08676   -0.03187   -0.05849
 136.00000    0.00000    4.99500    0.00000  -42.21000  -35.47000  -26.60000  -12.01000   15.77000    1.94000   -0.14759   -0.13533   -0.11920   -0.09267   -0.04215   -0.06730
 137.00000    0.00000    4.99500    0.00000  -39.01000  -33.97000  -26.70000  -13.74000   11.84000   -1.12000   -0.14257   -0.13339   -0.12016   -0.09658   -0.05003   -0.07361
